traitX,traitY,traitZ,itemA,itemB,itemC,itemD,itemE,itemF,itemG, category1, category2, category3
56,55,58,1,0,1,1,1,0,0,3,7,Dog
57,44,69,1,0,0,0,1,1,1,5,1,Apple
31,42,53,1,0,1,0,1,0,1,3,8,Elephant
47,53,55,0,0,1,1,0,1,0,1,8,Dog
39,59,44,0,0,0,0,1,0,0,2,3,Cat
74,55,68,1,1,1,1,1,1,1,4,2,Cat
39,60,55,0,1,0,1,1,1,0,4,6,Cat
51,56,48,1,0,1,1,1,0,0,4,9,Dog
36,69,46,0,1,0,0,1,0,0,4,5,Dog
64,44,45,1,0,1,1,1,1,0,3,1,Bow
48,62,53,1,1,0,1,1,1,1,2,3,Apple
45,36,55,1,0,1,1,0,0,1,4,9,Bow
49,57,50,0,1,1,0,0,1,1,2,10,Apple
55,43,62,0,0,0,1,0,1,1,2,1,Apple
63,30,46,0,1,0,0,1,0,1,1,10,Elephant
55,48,47,0,0,1,1,1,1,0,5,1,Bow
38,51,40,0,1,0,1,0,0,0,1,8,Apple
54,53,63,0,0,0,0,1,1,1,3,1,Bow
26,52,48,0,0,0,0,0,0,0,1,7,Cat
37,61,57,1,0,0,1,0,1,1,2,3,Bow
31,40,56,0,1,0,1,0,0,1,5,9,Bow
58,53,50,0,0,1,1,1,1,1,2,7,Cat
53,36,56,1,1,0,1,0,1,0,3,1,Cat
43,41,52,0,1,0,1,1,0,0,1,7,Bow
50,26,55,1,0,0,1,0,1,0,1,10,Bow
40,55,59,0,0,0,1,1,0,1,4,2,Dog
44,50,34,0,0,0,0,1,1,1,3,5,Elephant
40,41,51,1,1,0,0,1,1,0,4,2,Dog
50,37,59,1,0,0,0,0,1,0,1,1,Apple
38,48,46,0,0,1,1,0,1,0,5,4,Apple
35,40,52,0,0,0,1,1,1,0,5,7,Bow
40,25,36,0,0,0,0,0,0,0,2,9,Elephant
44,57,51,0,1,1,0,1,0,1,5,10,Dog
39,54,55,1,0,0,0,0,0,1,2,3,Cat
48,34,40,0,1,0,0,0,1,0,1,2,Apple
37,60,59,0,1,1,1,1,0,0,5,4,Elephant
53,51,49,0,1,0,1,0,0,1,3,1,Apple
47,44,45,1,0,1,0,0,0,0,1,4,Dog
44,54,47,1,0,0,1,0,0,0,3,4,Cat
37,50,41,0,0,1,0,1,1,0,3,7,Dog
52,43,47,1,1,0,0,1,1,1,1,7,Elephant
40,57,52,0,0,1,1,0,1,1,5,4,Elephant
51,26,48,0,0,1,0,1,0,0,2,8,Bow
45,57,60,0,1,0,1,1,0,1,3,9,Apple
46,43,50,1,0,1,1,1,1,0,5,9,Bow
55,42,58,1,1,1,1,0,1,1,3,8,Bow
77,40,59,1,0,1,0,0,1,1,1,2,Cat
49,44,56,1,0,1,0,0,0,0,2,1,Dog
40,39,49,1,1,0,1,0,1,1,5,9,Elephant
46,47,50,1,0,1,0,0,1,0,2,7,Apple
50,49,53,0,0,0,1,0,0,0,1,7,Cat
45,58,63,0,1,0,1,1,1,0,1,10,Cat
47,34,37,0,0,0,1,1,1,1,2,9,Elephant
44,38,49,0,0,1,0,0,1,1,2,7,Elephant
45,58,60,0,0,0,1,0,1,0,3,3,Bow
54,58,61,1,0,0,1,1,1,1,5,1,Dog
54,39,65,1,1,0,1,1,1,1,2,10,Bow
49,29,49,0,1,1,0,0,0,1,1,10,Elephant
42,45,50,1,1,0,0,1,0,1,4,5,Elephant
51,44,67,1,0,0,0,1,1,1,2,5,Bow
42,44,44,0,0,0,0,1,0,1,2,3,Elephant
29,60,52,0,1,1,1,0,0,1,4,10,Apple
51,34,52,0,0,1,1,0,1,0,2,6,Bow
37,60,45,0,1,1,0,0,0,0,5,4,Elephant
51,50,59,0,1,1,0,0,1,0,1,2,Elephant
41,56,50,1,1,1,1,1,0,0,5,10,Dog
35,67,56,1,1,1,0,1,0,1,4,3,Cat
47,48,50,1,1,1,0,0,0,0,1,10,Apple
42,55,69,1,0,0,0,1,1,0,5,10,Dog
57,48,36,0,0,0,0,0,0,0,4,2,Cat
48,55,43,1,1,1,1,0,0,0,1,3,Cat
47,58,58,1,1,1,1,1,0,1,2,10,Apple
34,61,48,1,1,0,0,0,1,0,5,4,Dog
42,51,44,0,1,0,0,0,1,0,3,10,Apple
38,69,49,1,1,0,1,1,1,1,4,8,Cat
49,58,54,1,0,1,0,1,1,1,4,7,Dog
47,58,62,1,1,0,1,1,1,1,4,7,Cat
43,40,46,0,0,0,0,0,0,0,1,2,Elephant
59,37,56,1,1,1,0,1,1,1,1,9,Bow
40,56,50,0,0,0,1,1,0,1,5,3,Elephant
55,34,45,1,0,1,0,1,0,0,1,7,Bow
29,61,65,1,0,1,1,0,1,0,4,7,Cat
46,64,52,0,1,1,0,1,1,1,5,3,Cat
27,29,41,1,0,0,0,0,0,0,3,10,Elephant
43,63,37,0,1,0,0,1,0,0,4,3,Apple
46,46,47,1,0,1,1,1,0,0,3,7,Bow
55,32,52,1,1,0,1,1,1,1,1,7,Bow
47,52,44,0,1,1,0,1,0,0,2,2,Dog
38,64,61,1,0,1,1,1,1,1,4,10,Dog
29,65,48,0,0,1,0,0,0,1,4,4,Cat
39,44,45,0,1,1,1,0,0,0,1,6,Elephant
43,49,50,1,0,0,0,0,0,0,4,3,Dog
45,58,54,0,1,0,1,1,0,0,2,2,Dog
44,70,50,1,1,0,1,0,0,1,3,7,Apple
34,41,41,0,1,0,0,0,0,0,3,1,Cat
62,69,50,1,0,1,1,1,0,1,4,4,Apple
54,50,30,0,1,1,1,1,1,0,3,1,Apple
42,23,56,1,0,0,0,0,1,0,3,7,Bow
43,65,59,1,0,0,1,0,1,0,4,5,Apple
38,63,59,1,1,1,0,1,1,1,3,4,Elephant
36,43,53,0,0,0,1,1,0,1,3,2,Elephant
62,31,33,0,1,0,0,1,0,0,1,10,Elephant
38,56,43,1,0,1,1,0,1,0,3,4,Dog
67,61,51,1,1,1,1,1,0,1,1,6,Apple
58,38,59,1,0,1,1,0,1,1,3,1,Bow
41,49,36,1,1,1,0,1,0,0,4,5,Bow
41,62,44,0,1,1,0,1,0,1,2,5,Cat
44,67,53,0,1,0,1,1,0,1,5,5,Elephant
50,46,56,1,1,0,1,1,0,0,1,1,Cat
50,60,52,1,0,0,1,1,1,1,3,1,Cat
47,38,50,1,0,1,0,1,1,1,5,10,Bow
55,57,63,1,0,0,0,0,1,1,3,6,Dog
42,48,47,1,1,1,1,1,0,0,4,5,Elephant
45,62,56,1,0,1,1,1,1,1,4,8,Dog
50,55,47,1,1,1,1,1,1,0,5,1,Cat
50,60,53,0,0,0,0,1,1,1,2,10,Cat
43,37,46,1,0,1,0,0,0,0,5,6,Elephant
73,50,43,0,1,1,0,1,1,1,2,1,Dog
48,52,49,1,1,0,0,0,0,1,1,7,Apple
46,35,63,0,1,0,1,1,0,1,1,8,Bow
45,24,49,0,0,0,1,0,1,0,1,10,Elephant
60,51,56,1,1,1,1,1,1,1,1,1,Cat
39,52,51,1,0,0,1,0,1,0,5,8,Apple
47,51,44,0,1,0,0,0,1,0,2,4,Apple
46,42,55,0,0,1,0,0,1,0,2,2,Apple
42,62,48,1,0,0,0,1,1,0,3,6,Dog
43,35,59,1,0,0,1,1,0,1,4,7,Bow
33,54,51,1,0,0,1,1,0,1,4,6,Dog
34,33,59,0,0,1,1,0,0,1,3,7,Bow
35,65,56,1,0,0,1,1,1,1,4,9,Apple
44,60,51,1,0,0,1,0,1,1,5,3,Dog
44,56,39,0,0,0,0,0,1,0,1,8,Cat
31,56,51,0,1,1,1,0,0,1,5,3,Dog
40,59,57,1,0,1,1,0,0,0,5,9,Cat
43,58,56,1,1,1,0,0,1,1,4,6,Apple
56,55,50,0,0,1,1,1,1,1,4,3,Bow
44,63,60,0,1,0,1,1,1,1,3,5,Apple
38,64,48,0,1,1,1,1,0,0,5,4,Bow
56,38,55,1,1,1,1,1,1,1,1,9,Bow
52,51,57,0,0,1,1,1,0,0,1,3,Apple
47,66,43,0,1,1,1,1,0,0,5,2,Elephant
43,49,53,0,1,0,0,0,1,1,3,4,Dog
51,66,58,1,0,0,1,1,1,1,4,4,Dog
51,30,43,1,1,1,0,0,1,1,2,6,Bow
61,24,54,0,0,1,0,0,0,0,3,1,Apple
38,63,50,1,0,0,0,0,0,1,4,5,Apple
37,52,40,0,1,1,0,0,0,0,2,9,Cat
48,49,42,0,0,1,1,1,0,1,3,6,Dog
47,45,50,0,0,1,0,1,0,0,3,3,Cat
42,44,57,1,1,1,0,1,1,1,1,3,Bow
47,61,42,0,0,1,0,1,0,0,1,5,Cat
41,56,37,0,1,0,0,0,0,0,3,4,Cat
40,46,47,1,1,1,0,1,0,0,5,7,Elephant
42,49,48,1,1,0,0,0,0,1,1,9,Apple
58,45,52,1,1,1,1,1,0,0,1,1,Dog
44,46,52,1,0,0,1,1,1,1,4,8,Elephant
35,56,49,1,1,0,1,1,0,1,1,8,Elephant
45,32,51,1,0,1,0,0,0,0,3,7,Bow
56,43,49,0,1,1,0,0,0,0,4,1,Elephant
52,56,48,1,0,1,0,1,1,1,4,10,Cat
49,44,61,1,0,1,1,1,1,1,1,8,Dog
40,56,52,1,1,0,1,1,0,0,5,2,Dog
56,40,55,1,1,0,1,0,1,1,1,1,Cat
42,56,42,0,1,0,0,0,1,0,4,6,Apple
51,47,61,0,0,0,0,1,1,1,3,8,Dog
34,72,44,1,1,0,1,0,1,1,4,9,Apple
48,50,44,1,1,0,1,0,0,1,2,5,Elephant
32,55,50,0,1,0,1,0,1,0,5,5,Bow
61,44,39,0,1,1,0,0,0,1,1,3,Elephant
37,60,49,0,0,0,0,0,0,0,5,3,Elephant
46,39,60,0,1,1,0,1,1,1,3,10,Elephant
33,44,47,1,0,0,1,0,1,0,4,2,Apple
53,26,62,1,1,0,0,0,0,0,1,1,Cat
49,49,57,1,0,1,1,0,1,1,3,1,Apple
31,40,48,0,0,1,0,0,0,0,5,6,Bow
56,37,53,1,0,0,0,0,0,0,2,6,Cat
49,43,50,1,0,1,1,1,0,0,2,1,Cat
46,55,69,1,0,0,1,0,1,0,1,3,Elephant
30,60,52,0,0,0,1,0,0,0,5,7,Cat
51,61,52,1,0,1,1,0,0,1,2,5,Dog
61,39,54,1,0,0,0,1,0,1,1,2,Cat
46,45,50,1,1,0,0,0,0,0,1,7,Apple
44,43,50,1,0,0,1,1,0,1,1,2,Bow
38,43,59,1,0,0,1,0,1,1,3,4,Dog
39,49,41,0,0,1,0,1,1,0,3,7,Cat
63,58,50,1,1,1,0,1,1,1,1,8,Cat
37,62,59,1,0,1,1,1,1,1,5,6,Dog
58,43,41,1,0,1,0,1,0,0,1,3,Elephant
31,52,48,1,1,0,0,0,0,0,1,8,Dog
46,30,59,0,1,0,0,0,1,1,2,8,Elephant
61,60,50,0,1,0,1,1,1,1,3,8,Dog
44,56,43,1,0,1,0,1,0,0,3,3,Cat
38,54,53,1,0,0,0,0,1,0,3,3,Apple
34,69,41,0,1,0,0,1,0,1,2,4,Dog
48,43,50,0,0,0,0,0,1,1,1,3,Bow
48,65,49,0,1,0,1,1,1,1,1,8,Apple
50,52,58,1,1,0,1,1,1,1,5,1,Cat
53,48,39,0,0,1,0,0,0,0,4,1,Bow
49,45,55,1,1,0,0,1,1,1,1,2,Elephant
27,78,44,1,1,0,1,0,0,1,4,5,Cat
60,65,52,0,1,1,0,1,0,1,3,8,Apple
29,48,42,1,1,0,0,1,0,0,5,3,Bow
51,41,65,0,1,1,1,0,0,1,1,10,Apple
43,54,49,0,1,1,1,1,0,1,2,8,Cat
40,69,44,1,1,0,1,1,0,1,5,10,Bow
38,73,49,0,1,1,1,0,1,1,3,4,Dog
48,51,45,1,0,0,0,1,1,0,2,4,Cat
51,52,57,0,0,1,0,0,1,0,2,7,Cat
40,70,53,1,0,1,1,0,1,0,3,5,Apple
36,30,52,0,1,1,0,0,1,1,4,6,Bow
43,62,49,1,0,0,0,1,0,0,2,5,Dog
44,76,48,0,0,1,0,0,0,1,4,5,Cat
45,46,54,1,0,0,0,1,0,1,3,4,Apple
43,31,59,0,0,0,0,0,1,1,2,9,Elephant
48,57,50,1,0,0,0,0,1,0,1,9,Dog
51,35,36,1,1,1,0,1,1,0,5,5,Elephant
51,82,49,0,1,1,1,1,1,0,5,5,Dog
44,31,46,0,1,1,0,0,1,1,3,8,Bow
38,65,40,0,0,0,0,0,0,0,5,5,Cat
38,60,34,0,0,0,1,1,0,0,3,8,Apple
58,48,60,0,1,1,0,0,1,0,3,1,Apple
39,66,45,0,1,0,1,0,1,0,2,5,Apple
41,60,52,1,0,1,1,0,1,0,4,2,Apple
52,54,52,1,0,1,0,0,1,0,2,4,Bow
43,71,51,0,1,1,1,0,0,1,1,7,Cat
44,66,53,0,0,0,0,1,1,0,5,9,Dog
74,46,58,0,0,1,1,1,1,1,1,10,Dog
60,49,47,0,1,0,1,1,1,0,5,2,Cat
39,59,41,1,0,1,0,0,0,0,1,7,Dog
31,58,39,0,0,0,1,0,0,1,4,4,Bow
52,48,49,0,0,1,0,0,1,0,4,2,Elephant
51,37,53,1,1,1,1,0,1,1,3,6,Elephant
47,54,55,1,1,0,0,0,1,0,2,8,Dog
41,64,51,1,0,0,0,0,0,0,2,5,Apple
38,56,40,0,0,0,0,0,0,1,4,8,Dog
46,43,49,0,0,0,1,1,0,1,2,6,Apple
54,55,65,1,1,0,1,0,1,0,5,1,Cat
48,59,63,0,1,0,0,1,0,1,4,7,Apple
46,62,50,0,1,1,0,1,0,0,3,7,Dog
41,56,46,0,0,0,1,1,1,0,3,4,Elephant
49,49,66,1,0,1,1,1,1,1,4,2,Apple
55,50,63,0,0,1,1,1,1,0,1,1,Apple
46,55,60,1,0,0,1,1,1,1,3,9,Cat
63,52,59,0,1,0,1,1,1,1,2,2,Cat
50,58,56,0,1,1,1,0,1,0,4,7,Cat
59,42,58,0,1,0,1,1,1,1,4,1,Dog
28,46,43,1,1,0,1,0,0,0,3,5,Elephant
37,43,49,1,0,0,0,0,1,0,2,8,Apple
56,68,43,0,0,0,0,1,0,1,4,5,Dog
73,57,62,0,0,1,1,0,0,1,5,2,Cat
47,63,51,0,1,1,1,0,0,1,4,4,Elephant
56,42,55,0,1,1,1,1,0,1,4,8,Elephant
46,77,50,0,0,1,0,1,1,1,3,5,Apple
59,52,55,1,1,1,0,1,1,1,1,7,Apple
44,51,63,1,1,1,1,1,0,1,3,4,Apple
48,36,52,0,0,0,0,1,1,0,5,1,Apple
19,58,53,1,1,0,1,0,1,0,4,3,Apple
41,37,50,1,0,0,0,1,0,0,1,10,Elephant
68,43,50,0,0,1,0,1,1,0,3,9,Bow
50,39,49,1,1,0,0,1,1,1,1,2,Elephant
34,58,48,1,1,0,1,0,0,1,5,3,Elephant
49,45,60,1,0,1,0,0,0,0,4,1,Dog
59,42,51,1,1,1,1,0,1,0,1,1,Apple
36,41,40,1,1,1,1,0,0,1,4,7,Elephant
51,34,47,0,0,1,0,0,1,1,5,8,Elephant
41,42,58,1,0,1,1,0,0,0,4,3,Bow
41,46,41,0,0,0,0,1,0,0,1,3,Bow
41,64,52,0,1,1,1,0,1,1,1,3,Dog
51,31,22,0,0,0,0,0,0,0,3,1,Elephant
54,49,50,1,0,1,0,1,0,1,4,1,Elephant
22,59,47,0,0,0,0,0,1,0,5,3,Elephant
35,39,55,1,0,0,0,0,0,0,1,9,Elephant
42,60,44,0,0,0,1,1,0,1,2,9,Apple
38,54,54,1,1,1,1,0,0,0,2,5,Apple
32,36,52,0,1,0,1,0,1,0,3,8,Bow
40,37,56,1,0,0,1,0,1,0,5,7,Bow
44,57,37,0,1,1,0,0,1,0,1,5,Cat
35,60,48,1,1,1,1,0,0,0,5,9,Cat
41,47,55,1,1,1,0,1,1,1,1,8,Apple
43,52,48,0,1,0,1,0,1,0,3,3,Elephant
60,58,48,0,0,1,1,1,1,1,2,9,Cat
54,48,39,0,0,1,0,1,1,1,1,5,Elephant
52,47,54,1,0,0,0,1,0,0,4,1,Apple
52,61,50,0,1,0,1,1,1,0,5,4,Bow
58,46,52,1,1,0,1,0,1,0,3,1,Bow
32,66,54,0,1,0,1,1,0,0,2,10,Dog
53,60,42,0,1,1,0,1,1,1,4,9,Cat
58,53,40,0,1,1,1,1,0,1,2,1,Dog
43,42,55,1,1,1,1,0,1,1,5,4,Bow
63,47,50,0,1,1,1,1,0,1,3,1,Apple
41,58,55,1,1,0,0,1,0,1,4,7,Apple
31,52,54,0,0,0,1,1,1,1,2,5,Bow
42,57,52,1,1,0,1,0,0,0,3,4,Cat
53,66,47,0,1,0,0,1,1,1,4,4,Bow
49,31,49,0,0,0,0,0,1,0,5,9,Bow
53,34,40,1,1,1,1,1,0,1,2,9,Bow
51,57,43,0,1,0,0,1,1,0,4,9,Apple
44,35,58,0,0,0,1,0,1,1,1,2,Dog
65,39,50,1,0,0,0,1,1,0,1,2,Cat
56,60,57,1,1,1,1,1,0,1,2,1,Elephant
44,47,54,0,0,0,0,0,1,1,3,6,Dog
29,62,40,0,1,0,0,0,0,0,4,7,Apple
55,62,44,1,0,0,1,1,1,0,1,10,Dog
46,68,47,0,0,1,0,0,1,0,2,5,Apple
47,46,58,0,1,0,1,0,1,1,3,2,Bow
46,62,31,1,1,0,1,0,0,1,2,10,Cat
42,50,46,0,1,0,1,0,0,0,2,9,Cat
48,54,53,1,1,0,1,0,0,1,2,7,Dog
50,58,47,1,1,1,0,1,0,0,4,6,Apple
42,29,49,1,1,0,0,0,1,0,3,6,Elephant
41,49,61,0,1,1,1,1,0,1,5,6,Elephant
33,39,47,1,0,0,0,0,0,1,5,9,Bow
45,47,58,0,0,0,1,1,1,1,5,9,Elephant
37,34,66,1,1,0,1,1,1,0,3,8,Elephant
44,45,47,0,1,0,0,0,1,1,2,2,Apple
64,44,48,1,1,1,1,1,1,1,1,2,Apple
42,34,43,1,0,1,0,0,1,0,4,1,Apple
43,50,55,1,0,0,1,1,0,0,1,3,Apple
45,51,44,1,1,0,1,0,1,0,2,5,Bow
37,61,47,0,1,0,0,0,1,1,4,4,Apple
53,47,50,1,0,0,0,1,1,1,3,7,Apple
34,56,48,1,0,1,1,1,0,1,2,9,Dog
46,33,43,0,0,1,0,0,0,1,3,10,Bow
45,56,57,0,0,1,1,1,1,1,4,4,Bow
55,51,48,1,0,0,0,0,0,1,1,7,Apple
42,43,42,0,1,1,0,1,0,0,2,2,Dog
37,52,45,0,1,0,1,0,0,0,1,8,Dog
47,46,57,1,0,0,1,0,1,1,2,2,Bow
41,58,36,0,0,1,0,1,0,0,3,8,Apple
62,59,56,1,1,1,1,0,1,1,3,7,Dog
44,31,53,1,1,0,0,1,1,0,4,7,Elephant
50,52,54,1,0,1,1,0,1,1,1,8,Dog
50,41,48,1,1,0,0,0,1,1,1,1,Elephant
41,38,56,1,0,0,0,1,0,1,1,1,Apple
54,32,59,1,1,0,1,1,1,0,2,9,Elephant
38,49,54,0,0,0,1,1,0,0,3,6,Dog
51,41,52,0,1,0,0,1,1,1,4,10,Bow
52,44,47,0,0,1,0,0,0,0,2,5,Elephant
39,51,47,0,1,0,0,1,0,0,5,8,Elephant
58,51,50,0,1,0,0,1,0,1,2,9,Apple
47,69,38,0,1,0,0,1,1,1,3,5,Apple
55,49,36,0,1,0,1,0,0,1,4,1,Bow
41,60,49,0,1,1,0,0,0,1,4,4,Elephant
47,34,42,1,1,1,0,1,0,0,1,2,Apple
42,57,46,0,1,0,0,1,0,0,2,10,Cat
58,31,42,0,0,1,0,0,1,0,1,1,Dog
55,37,58,1,1,1,1,1,0,1,4,6,Bow
56,37,46,1,0,0,0,0,0,0,2,1,Bow
54,41,50,0,0,1,0,1,1,0,1,5,Bow
32,53,61,1,0,1,1,0,1,1,1,10,Apple
37,67,50,0,0,0,1,0,1,1,3,5,Dog
30,68,58,0,1,0,1,1,0,1,5,4,Bow
42,63,50,1,0,1,1,0,0,0,4,9,Apple
50,58,59,1,1,0,1,0,1,1,4,10,Cat
36,61,40,1,1,1,0,0,0,1,4,10,Dog
43,70,46,1,0,1,1,1,0,1,4,10,Cat
40,30,50,0,1,1,1,1,0,0,1,8,Bow
30,45,47,1,0,0,1,0,0,0,4,8,Cat
42,58,65,1,1,0,1,0,1,1,3,9,Apple
82,49,26,0,0,1,0,1,0,1,5,2,Cat
41,46,51,1,1,0,1,0,1,1,2,3,Dog
47,52,57,1,1,0,1,0,1,0,2,4,Apple
46,49,43,0,1,1,0,1,1,1,2,2,Elephant
37,37,54,0,1,0,1,0,0,0,2,7,Elephant
47,78,60,1,1,1,1,1,1,1,5,5,Apple
33,70,54,1,1,0,0,0,0,1,2,7,Dog
41,52,42,0,1,0,0,0,1,1,3,10,Apple
50,66,58,1,1,1,1,1,1,1,2,5,Dog
52,45,48,0,0,1,1,1,0,1,1,6,Apple
48,51,60,0,1,1,1,0,1,1,4,6,Elephant
54,39,52,0,0,1,1,0,1,0,2,9,Bow
47,54,46,0,1,0,0,1,1,1,5,7,Dog
35,59,45,0,1,1,0,1,0,0,4,8,Apple
32,46,60,1,1,0,0,1,1,1,5,8,Bow
51,41,54,0,1,1,1,1,0,1,3,7,Bow
68,42,43,0,0,1,0,0,1,0,1,2,Cat
40,64,54,0,1,1,1,0,1,1,4,8,Apple
44,47,58,1,1,0,1,0,1,1,3,5,Bow
41,41,51,0,0,0,0,1,0,0,3,3,Bow
44,42,51,1,1,1,0,0,1,0,2,7,Dog
66,37,44,0,0,0,0,0,0,0,2,1,Cat
36,39,61,1,0,0,1,1,0,1,4,10,Elephant
28,40,55,0,1,0,0,0,0,1,5,5,Bow
33,58,48,1,1,0,0,0,1,0,5,7,Dog
75,44,46,1,1,1,1,1,1,0,1,2,Cat
49,40,52,1,0,0,1,1,0,1,2,10,Elephant
63,37,42,1,0,0,0,0,1,0,1,1,Dog
67,61,51,0,1,0,1,1,0,1,2,8,Cat
52,60,44,1,0,1,0,0,1,1,4,4,Apple
38,37,50,0,0,1,0,0,0,1,3,10,Bow
46,59,56,1,1,0,0,0,1,0,2,3,Apple
33,62,59,1,1,0,1,1,1,1,4,3,Bow
48,37,47,0,1,0,1,0,1,0,3,6,Elephant
45,69,58,1,1,1,1,0,1,1,2,6,Dog
40,60,55,1,1,1,1,0,0,1,5,4,Dog
46,48,53,0,1,0,1,1,1,1,1,2,Elephant
40,61,67,1,1,0,0,1,0,1,1,4,Cat
48,35,48,1,1,1,1,0,0,0,1,8,Bow
50,68,50,1,0,0,1,0,1,1,2,5,Dog
39,53,47,0,0,1,0,1,0,0,4,2,Apple
51,65,60,1,0,1,1,1,1,1,4,4,Bow
42,46,41,0,1,1,1,0,1,0,2,2,Bow
42,59,33,0,0,1,0,0,0,0,5,9,Apple
52,34,36,0,1,0,1,1,0,1,4,7,Bow
34,56,51,1,0,0,1,1,0,1,3,2,Bow
47,31,53,0,1,0,1,1,1,0,3,9,Elephant
56,58,54,0,0,1,0,1,1,1,2,6,Apple
32,62,44,1,1,0,0,0,1,0,3,8,Cat
45,66,50,0,0,1,0,1,1,1,2,3,Bow
60,48,35,1,1,0,0,1,0,1,2,1,Dog
51,63,52,1,1,1,0,1,1,1,5,8,Cat
39,56,41,0,0,0,1,0,1,0,5,7,Dog
40,42,55,1,0,0,1,1,1,0,5,7,Bow
59,44,55,1,0,0,1,1,1,0,2,1,Cat
65,47,46,0,0,1,0,0,1,1,3,1,Apple
39,39,50,0,1,0,0,1,0,1,4,9,Elephant
43,61,62,0,0,1,1,1,1,1,2,10,Apple
47,29,44,1,0,0,0,0,0,1,1,6,Elephant
50,35,38,0,0,1,0,0,0,0,1,1,Cat
48,72,50,0,1,1,1,1,1,1,3,4,Apple
34,63,50,0,1,1,0,0,1,0,5,7,Dog
48,53,36,0,0,1,0,0,0,0,2,3,Apple
43,63,50,0,1,1,0,1,1,0,1,10,Apple
