traitX,traitY,traitZ,itemA,itemB,itemC,itemD,itemE,itemF,itemG
50,50,58,1,1,0,1,1,1,1
48,42,42,0,0,1,0,1,0,0
68,53,37,0,1,1,0,0,0,0
50,50,57,0,0,0,1,0,0,1
56,54,46,0,1,0,1,1,0,1
56,42,56,1,1,1,1,1,1,1
51,60,53,1,0,0,1,1,0,1
53,50,49,1,1,1,1,0,0,1
47,45,54,1,1,0,1,0,1,0
56,43,44,0,0,0,1,0,1,1
45,53,51,1,0,1,1,1,1,1
54,42,54,1,0,0,1,0,0,1
52,61,55,0,0,1,0,1,1,0
57,57,50,1,0,1,1,1,0,1
32,50,50,0,0,0,0,0,0,0
47,57,43,0,1,0,0,0,1,0
45,55,41,0,1,0,0,1,1,0
47,50,49,1,1,1,1,1,0,0
46,37,50,1,0,0,1,0,0,0
36,43,64,1,0,0,0,0,0,0
44,50,47,0,1,1,0,0,1,0
60,47,55,1,0,1,1,1,1,1
55,49,50,1,1,1,0,1,1,0
63,55,40,0,0,1,1,1,1,0
54,42,42,0,0,1,0,1,0,0
36,59,52,1,0,0,0,0,0,0
47,50,44,1,0,0,1,1,0,0
41,45,58,1,0,0,0,1,1,1
38,47,50,1,0,1,0,0,1,0
50,50,47,1,1,0,0,1,1,1
45,40,37,0,0,0,0,1,0,1
45,47,55,1,1,0,1,0,1,0
55,55,50,0,1,1,0,0,0,1
32,39,43,0,0,0,0,0,0,1
63,56,49,0,0,1,1,1,1,1
42,46,32,0,1,0,0,0,0,0
55,50,50,1,0,0,1,1,1,1
41,56,55,1,1,0,0,0,0,0
48,55,44,0,1,0,1,0,0,0
47,46,50,1,1,1,1,1,1,0
44,49,50,1,0,0,0,1,0,0
46,46,53,1,1,0,1,0,1,1
54,55,48,1,1,1,1,1,1,1
52,58,54,1,0,0,1,1,1,1
64,34,52,0,0,1,0,1,0,1
62,50,48,1,1,1,0,1,1,1
51,43,45,1,1,1,0,1,0,1
42,67,57,0,0,0,1,1,0,1
50,42,50,1,0,0,0,1,0,0
38,52,55,0,0,1,1,0,1,1
53,56,54,1,0,1,0,1,0,1
50,40,55,0,1,0,1,0,0,0
44,56,48,0,0,0,1,1,1,0
44,44,32,1,0,1,0,0,0,0
50,62,45,0,1,0,0,0,0,0
63,51,47,1,0,0,1,0,1,1
36,45,31,0,0,1,0,1,0,0
46,53,48,0,0,0,0,0,0,1
55,59,34,1,1,0,1,1,0,0
50,54,55,0,0,0,0,1,1,0
50,47,51,0,0,0,1,1,1,0
50,52,55,0,1,1,0,0,1,1
37,53,50,0,0,0,1,1,1,0
55,58,35,0,0,0,0,1,0,0
45,57,44,0,1,1,0,1,1,1
66,56,51,1,1,1,1,1,0,1
43,54,46,0,0,0,1,0,1,0
45,50,50,0,0,0,0,1,0,0
60,42,45,0,1,1,0,0,0,0
39,46,50,1,1,0,0,1,1,1
46,39,63,1,1,0,1,0,0,1
58,59,50,1,1,1,0,1,0,1
55,55,50,1,0,0,1,1,1,1
44,56,48,1,1,0,1,0,0,0
55,55,36,1,0,0,0,1,1,1
46,50,50,0,0,1,1,1,0,0
53,50,53,0,0,0,1,1,0,1
53,46,46,0,0,0,0,0,0,1
45,61,52,1,1,0,0,1,0,1
50,44,56,1,0,0,0,0,1,1
52,55,47,1,0,0,0,1,0,0
39,47,44,0,0,1,0,0,0,1
56,49,68,1,1,1,1,0,1,1
60,54,47,1,1,1,0,1,1,1
39,47,44,0,1,1,0,0,0,0
50,34,57,1,1,0,0,0,0,0
44,39,50,0,0,0,0,0,0,0
46,56,44,1,0,0,0,1,1,0
43,39,53,0,0,0,1,0,1,0
58,50,45,0,1,0,0,1,1,1
50,57,64,1,0,0,0,0,1,0
54,56,47,1,1,1,1,1,1,0
56,39,41,1,0,1,0,0,1,0
52,45,54,0,0,0,1,1,1,0
41,58,50,1,1,0,1,0,1,0
55,50,65,1,1,0,1,1,0,1
56,54,49,1,1,1,0,1,1,0
47,54,53,0,0,1,0,1,0,0
46,38,50,0,0,0,1,0,0,0
51,55,52,0,1,0,0,0,1,0
50,48,50,0,0,0,1,0,1,1
54,52,47,0,0,0,0,0,0,1
51,48,61,1,1,0,1,0,0,0
48,50,49,0,1,0,1,1,0,0
42,52,50,1,0,0,0,0,0,0
50,50,51,1,0,0,0,1,0,1
42,57,51,1,0,1,0,1,0,0
50,44,43,1,1,1,0,0,1,0
62,49,40,0,1,1,1,1,1,1
51,53,42,0,1,1,1,1,1,1
56,53,35,0,1,0,0,0,1,0
47,56,39,1,1,0,0,0,1,0
56,43,50,0,0,0,1,1,1,0
40,56,53,1,1,0,1,1,1,0
47,51,54,1,1,0,1,0,1,1
48,57,64,1,0,0,1,0,1,1
65,66,47,0,1,0,0,1,0,1
51,42,57,1,0,1,1,0,1,1
53,47,42,0,1,0,0,0,0,0
63,48,50,1,0,1,0,0,1,1
52,51,47,0,0,0,0,0,1,0
50,50,56,1,1,0,1,0,0,0
50,50,58,0,0,1,1,1,0,1
46,56,53,0,0,1,0,0,1,0
51,53,41,0,1,0,1,0,0,0
53,39,51,0,0,1,1,0,0,0
46,42,51,0,0,0,1,0,0,0
55,53,49,1,1,1,0,1,1,1
40,47,46,1,0,1,1,0,0,1
52,40,48,1,0,1,0,1,1,0
57,58,55,1,1,0,1,1,1,1
51,47,49,0,0,0,0,1,0,0
51,57,54,0,0,1,0,1,1,1
56,55,58,1,0,0,1,1,0,1
49,45,50,1,0,1,0,1,1,0
49,50,40,0,0,1,1,1,0,1
42,56,56,1,0,0,1,1,0,1
47,36,50,1,0,1,1,0,0,0
45,67,51,0,1,0,1,0,1,1
33,46,55,1,0,1,0,1,1,0
46,62,55,1,0,0,1,0,0,1
52,48,57,1,1,0,1,0,0,1
45,47,64,0,0,1,1,1,0,0
55,58,44,1,1,1,1,0,1,0
51,45,44,1,0,1,0,1,0,0
54,41,48,1,0,0,1,0,0,0
42,60,51,0,1,0,1,0,0,1
43,54,59,0,0,1,1,1,0,1
50,34,53,1,1,1,0,0,1,0
37,57,41,1,1,1,1,0,0,0
62,53,47,0,0,1,0,1,0,1
55,57,43,0,1,1,0,1,1,1
44,53,50,0,1,0,1,0,1,1
51,59,59,1,1,1,1,1,1,1
44,59,50,1,0,1,0,1,0,0
44,63,38,0,0,0,0,1,0,1
56,59,43,0,0,1,0,1,1,0
41,52,57,1,1,0,1,1,0,1
50,45,54,1,1,1,0,1,1,1
61,64,52,1,0,1,0,0,0,1
64,54,62,0,1,1,1,1,1,0
50,51,37,0,0,1,1,0,1,1
55,36,54,1,0,1,0,0,1,1
37,54,45,1,0,1,1,1,0,0
52,44,40,0,1,0,1,0,1,0
60,39,49,0,0,1,0,0,1,1
44,46,44,0,0,0,0,1,0,0
65,49,43,0,1,1,0,1,0,0
53,44,58,0,0,1,1,0,1,0
54,33,52,1,0,1,1,0,1,0
61,65,52,1,0,1,1,0,0,1
57,43,43,1,1,1,0,1,0,1
54,52,51,1,1,0,0,1,0,0
63,58,45,1,1,0,0,0,1,0
52,59,40,1,1,0,0,0,0,1
52,44,46,1,0,1,0,1,1,0
47,57,41,0,0,1,0,0,0,1
50,51,65,0,1,0,1,1,1,0
59,50,60,0,1,1,1,1,0,1
58,52,50,0,0,0,1,0,1,1
52,33,40,1,0,0,0,0,0,0
45,55,53,0,0,0,1,0,1,1
53,56,51,1,1,0,0,1,0,1
50,59,44,1,1,0,1,1,1,1
41,36,44,0,0,1,1,1,1,0
48,47,41,1,1,1,1,0,0,0
51,47,47,0,1,1,0,1,0,1
45,52,43,1,0,0,1,0,1,1
58,50,55,1,0,0,0,1,0,1
44,50,45,1,1,0,0,1,0,1
37,43,44,1,1,0,0,0,0,0
58,56,50,0,0,1,1,0,1,1
44,44,52,0,0,1,1,0,1,0
39,47,45,0,1,0,0,0,0,1
50,55,54,0,0,1,0,1,0,1
55,67,56,0,1,0,1,1,1,1
28,54,38,0,0,1,0,0,0,0
51,49,52,0,1,0,1,0,1,0
46,52,39,0,0,1,1,0,0,0
61,50,46,1,1,1,0,0,1,0
48,53,39,0,0,0,0,1,0,1
61,43,66,1,1,1,1,1,1,0
50,43,54,1,0,1,1,0,1,1
43,46,30,0,1,0,0,0,0,0
40,45,45,0,1,1,1,0,0,0
39,52,54,0,1,0,1,0,1,0
37,45,48,1,0,1,0,0,1,1
47,63,48,0,1,0,1,0,0,1
46,49,48,0,0,0,0,0,0,0
59,65,50,1,1,1,0,0,0,1
38,55,49,1,1,0,1,1,0,0
59,59,45,0,0,0,1,1,1,1
54,54,34,1,0,0,0,1,1,0
64,48,50,0,0,1,0,0,0,1
37,35,50,1,0,1,0,1,0,0
49,51,35,0,1,1,1,1,0,1
47,49,42,0,0,0,1,1,1,0
48,47,38,1,1,0,1,1,0,0
49,39,57,0,0,0,1,1,0,1
46,47,44,1,1,1,0,1,0,0
49,48,47,0,0,0,1,0,0,1
46,56,42,0,0,0,1,1,0,0
45,41,47,1,0,1,0,1,1,0
57,54,50,1,1,0,0,1,0,0
40,48,37,0,0,0,1,0,1,0
48,39,46,0,0,0,0,0,0,1
49,48,50,0,1,1,0,1,0,0
48,66,45,0,1,1,0,1,0,0
52,47,53,0,1,1,0,1,1,0
50,38,53,1,0,0,1,1,0,0
34,54,46,0,0,1,1,0,0,0
58,50,55,0,1,1,0,1,1,1
62,50,65,1,1,1,0,0,1,1
47,49,51,1,1,1,0,0,1,0
59,50,54,0,1,1,0,0,1,1
48,59,57,0,1,0,1,1,0,0
52,46,47,1,1,0,1,1,0,1
59,50,40,0,0,1,0,0,0,0
57,38,49,1,1,0,0,1,0,1
56,57,54,0,1,1,1,1,0,1
37,36,52,1,0,0,0,1,0,0
46,53,53,0,0,1,0,1,0,1
26,72,47,0,0,0,1,0,0,0
37,50,59,0,1,0,1,0,1,1
49,57,49,0,1,0,0,0,1,1
52,51,53,1,1,1,1,1,1,1
55,50,47,0,0,0,0,1,0,0
47,51,44,0,0,0,1,1,1,0
38,51,47,0,0,0,0,0,1,0
41,45,50,0,0,0,0,0,1,1
50,53,52,1,0,0,1,1,0,1
47,54,54,0,0,0,0,0,1,1
50,50,65,1,0,0,1,1,1,1
44,52,37,0,0,0,1,0,0,0
54,55,58,0,1,0,0,0,1,0
45,46,54,1,0,0,0,0,0,1
48,56,39,0,0,0,0,0,1,1
49,51,52,1,1,0,1,0,1,1
42,45,54,0,0,1,0,0,0,1
50,44,49,1,1,0,0,0,0,0
39,54,55,1,1,1,0,1,0,0
54,64,50,0,1,0,0,0,0,1
50,35,50,0,1,1,1,1,0,0
57,37,50,1,1,0,0,0,0,0
46,55,50,1,1,0,0,0,0,1
42,62,57,0,1,1,0,0,1,0
44,46,49,1,0,0,1,0,0,1
56,42,50,0,0,1,1,1,1,0
26,50,41,0,0,0,1,0,1,0
48,44,35,0,1,0,0,0,0,0
40,65,55,1,1,0,0,1,1,0
63,45,62,1,0,1,1,0,0,1
48,50,52,1,1,1,0,1,0,0
71,53,56,0,0,0,1,1,1,1
52,38,45,0,0,1,0,0,0,0
53,47,59,0,0,1,0,0,0,1
